data,index,Open,High,Low,Close,Volume,*Close
2022/1/20,94,13190,13410,13150,13410,4531800,13410
2022/1/19,95,13295,13355,12975,13105,3402600,13105
2022/1/18,96,12805,13030,12785,12895,3082300,12895
2022/1/17,97,13495,13500,12880,13140,5951700,13140
2022/1/14,98,13900,14120,13750,13850,6740000,13850
2022/1/13,99,13800,14030,13745,13880,3814200,13880
2022/1/12,100,13900,14035,13800,13995,3792800,13995
2022/1/11,101,13900,14060,13865,14045,2785000,14045
2022/1/7,102,14110,14245,13855,13985,2864600,13985
2022/1/6,103,13995,14090,13850,13850,2309100,13850
2022/1/5,104,13860,13910,13700,13725,2410900,13725
2022/1/4,105,13800,13920,13650,13800,2583500,13800
2021/12/30,106,13855,14030,13830,13960,2452200,13960
2021/12/29,107,14070,14110,14005,14095,2134100,14095
2021/12/28,108,14070,14320,14005,14320,3301000,14320
2021/12/27,109,14600,14625,14170,14225,3515200,14225
2021/12/24,110,14285,14480,14115,14350,3117700,14350
2021/12/23,111,14275,14405,14245,14345,2933100,14345
2021/12/22,112,14240,14320,14155,14280,2437600,14280
2021/12/21,113,14035,14220,13965,14065,3330500,14065
2021/12/20,114,14170,14410,14105,14260,2593600,14260
2021/12/17,115,14105,14125,13910,13985,3925000,13985
2021/12/16,116,13720,14070,13720,13750,3887700,13750
2021/12/15,117,13900,14195,13820,13825,6036200,13825
2021/12/14,118,13760,13945,13670,13895,4317300,13895
2021/12/13,119,13680,13775,13470,13580,4460300,13580
2021/12/10,120,13675,13830,13550,13825,3335100,13825
2021/12/9,121,13780,13820,13595,13680,3030000,13680
2021/12/8,122,13790,14060,13620,13985,3419700,13985
2021/12/7,123,14225,14375,14210,14270,3210300,14270
2021/12/6,124,14110,14290,14070,14070,2985400,14070
2021/12/3,125,14120,14150,13840,13870,3519700,13870
2021/12/2,126,14060,14080,13870,13870,2358600,13870
2021/12/1,127,13800,13935,13730,13750,2418300,13750
2021/11/30,128,13715,14050,13710,14000,2367100,14000
2021/11/29,129,14110,14225,13975,14040,2866400,14040
2021/11/26,130,13925,13960,13780,13850,4425000,13850
2021/11/25,131,13700,13785,13405,13440,2685300,13440
2021/11/24,132,13695,13710,13525,13555,2520000,13555
2021/11/22,133,13790,13930,13755,13930,2551300,13930
2021/11/19,134,14055,14215,14045,14215,2676800,14215
2021/11/18,135,14300,14370,14210,14270,1538400,14270
2021/11/17,136,14235,14430,14215,14365,1836200,14365
2021/11/16,137,14500,14745,14480,14695,3441700,14695
2021/11/15,138,14645,14705,14520,14580,2131200,14580
2021/11/12,139,14595,14605,14400,14475,2179200,14475
2021/11/11,140,14755,15025,14700,14970,4240500,14970
2021/11/10,141,15265,15725,15050,15520,8028800,15520
2021/11/9,142,14955,14965,14420,14455,10950900,14455
2021/11/8,143,14500,14730,14240,14540,6995600,14540
2021/11/5,144,14270,14595,14240,14405,4833900,14405
2021/11/4,145,14635,14700,14520,14520,3807400,14520
2021/11/2,146,14480,14610,14415,14470,2423100,14470
2021/11/1,147,14330,14345,14000,14190,4270600,14190
2021/10/29,148,14215,14330,14125,14235,2142800,14235
2021/10/28,149,14350,14415,14105,14230,2714400,14230
2021/10/27,150,13100,13105,12400,12410,14977200,12410
2021/10/26,151,13010,13135,12750,13135,9673700,13135
2021/10/25,152,12700,12960,12480,12955,7562300,12955
2021/10/22,153,12565,12865,12540,12835,5009300,12835
2021/10/21,154,12800,12830,12420,12480,6143700,12480
2021/10/20,155,12650,12835,12425,12620,4716600,12620
2021/10/19,156,12320,12380,11610,11770,9854900,11770
2021/10/18,157,11900,12310,11840,12235,7293000,12235
2021/10/15,158,12250,12770,12115,12720,5322100,12720
2021/10/14,159,13050,13055,12680,12770,5324500,12770
2021/10/13,160,13105,13425,12940,13400,6676400,13400
2021/10/12,161,12500,12735,12250,12585,9681000,12585
2021/10/11,162,12405,12725,12370,12600,5284200,12600
2021/10/8,163,12800,12810,12490,12660,3854900,12660
2021/10/7,164,12670,12690,12480,12525,4161300,12525
2021/10/6,165,12650,12680,12465,12580,3921900,12580
2021/10/5,166,12585,12925,12560,12855,4995100,12855
2021/10/4,167,12520,12615,12430,12495,4440400,12495
2021/10/1,168,12500,12515,12140,12210,4121600,12210
2021/9/30,169,12465,12495,12235,12335,3233900,12335
2021/9/29,170,12280,12315,12085,12160,3253900,12160
2021/9/28,171,11980,12160,11855,12075,3861400,12075
2021/9/27,172,11800,11980,11690,11890,3318900,11890
2021/9/24,173,11590,11775,11375,11575,4611500,11575
2021/9/22,174,11640,11700,11340,11455,5027000,11455
2021/9/21,175,11695,11865,11585,11810,4713700,11810
2021/9/17,176,11765,11870,11610,11810,4586900,11810
2021/9/16,177,11715,11875,11670,11775,3993100,11775
2021/9/15,178,11710,11750,11535,11590,3246300,11590
2021/9/14,179,11745,11840,11655,11755,2592000,11755
2021/9/13,180,11455,11500,11185,11385,5504100,11385
2021/9/10,181,11000,11315,11000,11110,4560700,11110
2021/9/9,182,11040,11380,11025,11150,4452900,11150
2021/9/8,183,11190,11220,10930,10940,4511000,10940
2021/9/7,184,11600,11920,11530,11820,6344400,11820
2021/9/6,185,11685,11700,11435,11520,4555800,11520
2021/9/3,186,11450,11645,11350,11380,3664000,11380
2021/9/2,187,11120,11570,11115,11505,3540300,11505
2021/9/1,188,11490,11920,11485,11820,4521400,11820
2021/8/31,189,12495,12545,12195,12270,5003400,12270
2021/8/30,190,12265,12455,12205,12425,5088900,12425
2021/8/27,191,12395,12620,12360,12570,4351400,12570
2021/8/26,192,12745,12895,12660,12845,4130700,12845
2021/8/25,193,12570,12985,12570,12985,4189200,12985
2021/8/24,194,13030,13105,12830,12855,3402300,12855
2021/8/23,195,12800,12880,12720,12720,2536800,12720
2021/8/20,196,13020,13025,12810,12950,3750200,12950
2021/8/19,197,13000,13050,12805,12935,4187000,12935
2021/8/18,198,12865,12930,12730,12730,4493800,12730
2021/8/17,199,12655,12665,12470,12530,4029600,12530
2021/8/16,200,12640,12830,12590,12650,3031900,12650
2021/8/13,201,12780,12820,12595,12715,2796500,12715
2021/8/12,202,12530,12540,12390,12435,3164400,12435
2021/8/11,203,12030,12210,11970,12045,4166200,12045
2021/8/10,204,12240,12260,12005,12195,3531100,12195
2021/8/6,205,11930,11970,11675,11715,5202600,11715
2021/8/5,206,11325,11565,11320,11405,5163600,11405
2021/8/4,207,11210,11520,11210,11500,4341200,11500
2021/8/3,208,11455,11545,11435,11505,2858900,11505
2021/8/2,209,11205,11310,11075,11215,4026400,11215
2021/7/30,210,11130,11200,11045,11140,2446500,11140
2021/7/29,211,11310,11315,11155,11280,2509100,11280
2021/7/28,212,11490,11580,11380,11430,4118100,11430
2021/7/27,213,11500,11605,11435,11600,3717000,11600
