data,index,Open,High,Low,Close,Volume,*Close
2021-12-10,120 ,54000 ,54750 ,53590 ,53800 ,1113900 ,53800 
2021-12-09,121 ,54000 ,54000 ,53010 ,53620 ,921700 ,53620 
2021-12-08,122 ,52480 ,53570 ,52410 ,53380 ,1266700 ,53380 
2021-12-07,123 ,51140 ,51750 ,50590 ,51560 ,744400 ,51560 
2021-12-06,124 ,50790 ,51230 ,50370 ,50640 ,619200 ,50640 
2021-12-03,125 ,51100 ,51370 ,50420 ,50660 ,858500 ,50660 
2021-12-02,126 ,50740 ,51950 ,50710 ,51700 ,976500 ,51700 
2021-12-01,127 ,50100 ,51400 ,49800 ,50670 ,838100 ,50670 
2021-11-30,128 ,51530 ,51730 ,50010 ,50100 ,1271300 ,50100 
2021-11-29,129 ,50180 ,52040 ,50070 ,51340 ,1304100 ,51340 
2021-11-26,130 ,50750 ,50780 ,49680 ,49850 ,620900 ,49850 
2021-11-25,131 ,50830 ,51230 ,50560 ,50630 ,416200 ,50630 
2021-11-24,132 ,50500 ,51220 ,50360 ,50500 ,667700 ,50500 
2021-11-22,133 ,51660 ,51790 ,51180 ,51440 ,541200 ,51440 
2021-11-19,134 ,52040 ,52530 ,51760 ,51940 ,983200 ,51940 
2021-11-18,135 ,51090 ,51690 ,50730 ,51500 ,823700 ,51500 
2021-11-17,136 ,51250 ,51590 ,50630 ,50740 ,692000 ,50740 
2021-11-16,137 ,50380 ,51190 ,50230 ,51180 ,784900 ,51180 
2021-11-15,138 ,50790 ,50990 ,50030 ,50200 ,517900 ,50200 
2021-11-12,139 ,50150 ,50720 ,50060 ,50310 ,587500 ,50310 
2021-11-11,140 ,49730 ,50260 ,49430 ,49950 ,475800 ,49950 
2021-11-10,141 ,49450 ,49880 ,49400 ,49740 ,536300 ,49740 
2021-11-09,142 ,49050 ,50020 ,48800 ,49450 ,584400 ,49450 
2021-11-08,143 ,50670 ,51090 ,49260 ,49260 ,1128800 ,49260 
2021-11-05,144 ,48440 ,50770 ,48440 ,50640 ,1297000 ,50640 
2021-11-04,145 ,48800 ,49630 ,48690 ,49140 ,1090700 ,49140 
2021-11-02,146 ,50530 ,50870 ,49960 ,49970 ,531100 ,49970 
2021-11-01,147 ,50900 ,50900 ,50260 ,50600 ,573600 ,50600 
2021-10-29,148 ,49810 ,50200 ,49290 ,50200 ,757100 ,50200 
2021-10-28,149 ,48990 ,49750 ,48550 ,49360 ,1008600 ,49360 
2021-10-27,150 ,49150 ,49190 ,47890 ,48550 ,947000 ,48550 
2021-10-26,151 ,49500 ,49790 ,49150 ,49150 ,669000 ,49150 
2021-10-25,152 ,49650 ,50060 ,48940 ,49100 ,633100 ,49100 
2021-10-22,153 ,49520 ,50450 ,49450 ,50020 ,606600 ,50020 
2021-10-21,154 ,49690 ,50650 ,49370 ,50060 ,776100 ,50060 
2021-10-20,155 ,51430 ,51600 ,49770 ,50300 ,1364100 ,50300 
2021-10-19,156 ,51620 ,52590 ,51620 ,52350 ,627300 ,52350 
2021-10-18,157 ,51520 ,51890 ,51030 ,51260 ,575100 ,51260 
2021-10-15,158 ,51460 ,51690 ,50900 ,51530 ,742500 ,51530 
2021-10-14,159 ,51510 ,52260 ,51360 ,51650 ,735600 ,51650 
2021-10-13,160 ,51450 ,51990 ,50890 ,50990 ,570800 ,50990 
2021-10-12,161 ,51690 ,51960 ,51100 ,51450 ,631000 ,51450 
2021-10-11,162 ,50100 ,51250 ,50080 ,51150 ,565500 ,51150 
2021-10-08,163 ,50620 ,51080 ,50480 ,50640 ,640600 ,50640 
2021-10-07,164 ,50100 ,50440 ,49260 ,50150 ,929600 ,50150 
2021-10-06,165 ,49020 ,49900 ,48860 ,49600 ,1161500 ,49600 
2021-10-05,166 ,48420 ,49790 ,48370 ,48440 ,1227800 ,48440 
2021-10-04,167 ,48630 ,49640 ,47950 ,49210 ,1763100 ,49210 
2021-10-01,168 ,52040 ,52290 ,49510 ,49570 ,3092500 ,49570 
2021-09-30,169 ,52720 ,54310 ,52480 ,54310 ,2954200 ,54310 
2021-09-29,170 ,52710 ,53230 ,51850 ,53230 ,934000 ,53230 
2021-09-28,171 ,53820 ,53870 ,52660 ,53430 ,893300 ,53430 
2021-09-27,172 ,54280 ,54820 ,54110 ,54180 ,727700 ,54180 
2021-09-24,173 ,54000 ,54500 ,53620 ,53800 ,800700 ,53800 
2021-09-22,174 ,53120 ,53770 ,53000 ,53240 ,825800 ,53240 
2021-09-21,175 ,51840 ,53020 ,51830 ,52660 ,652400 ,52660 
2021-09-17,176 ,52410 ,53470 ,51630 ,53470 ,1193100 ,53470 
2021-09-16,177 ,53330 ,53390 ,52360 ,52500 ,940400 ,52500 
2021-09-15,178 ,53600 ,54130 ,53420 ,53890 ,703800 ,53890 
2021-09-14,179 ,54730 ,54950 ,53910 ,54210 ,1040900 ,54210 
