data,index,Open,High,Low,Close,Volume,*Close
2022-04-20,36.00 ,168.76 ,168.88 ,166.10 ,167.23 ,67929814.00 ,167.23 
2022-04-19,37.00 ,165.02 ,167.82 ,163.91 ,167.40 ,67723833.00 ,167.40 
2022-04-18,38.00 ,163.92 ,166.60 ,163.57 ,165.07 ,69023941.00 ,165.07 
2022-04-14,39.00 ,170.62 ,171.27 ,165.04 ,165.29 ,75329376.00 ,165.29 
2022-04-13,40.00 ,167.39 ,171.04 ,166.77 ,170.40 ,70603662.00 ,170.40 
2022-04-12,41.00 ,168.02 ,169.87 ,166.64 ,167.66 ,79248914.00 ,167.66 
2022-04-11,42.00 ,168.71 ,169.03 ,165.50 ,165.75 ,72246706.00 ,165.75 
2022-04-08,43.00 ,171.78 ,171.78 ,169.20 ,170.09 ,76512100.00 ,170.09 
2022-04-07,44.00 ,171.16 ,173.36 ,169.85 ,172.14 ,77567404.00 ,172.14 
2022-04-06,45.00 ,172.36 ,173.63 ,170.13 ,171.83 ,89051621.00 ,171.83 
2022-04-05,46.00 ,177.50 ,178.30 ,174.42 ,175.06 ,73401786.00 ,175.06 
2022-04-04,47.00 ,174.57 ,178.49 ,174.44 ,178.44 ,76545240.00 ,178.44 
2022-04-01,48.00 ,174.03 ,174.88 ,171.94 ,174.31 ,78705282.00 ,174.31 
2022-03-31,49.00 ,177.84 ,178.03 ,174.40 ,174.61 ,103049285.00 ,174.61 
2022-03-30,50.00 ,178.55 ,179.61 ,176.70 ,177.77 ,92633154.00 ,177.77 
2022-03-29,51.00 ,176.69 ,179.01 ,176.34 ,178.96 ,100589440.00 ,178.96 
2022-03-28,52.00 ,172.17 ,175.73 ,172.00 ,175.60 ,90282229.00 ,175.60 
2022-03-25,53.00 ,173.88 ,175.28 ,172.75 ,174.72 ,80546156.00 ,174.72 
2022-03-24,54.00 ,171.06 ,174.14 ,170.21 ,174.07 ,90131418.00 ,174.07 
2022-03-23,55.00 ,167.99 ,172.64 ,167.65 ,170.21 ,98062674.00 ,170.21 
2022-03-22,56.00 ,165.51 ,169.42 ,164.91 ,168.82 ,81518348.00 ,168.82 
2022-03-21,57.00 ,163.51 ,166.35 ,163.02 ,165.38 ,95809148.00 ,165.38 
